latitude,longitude,datetime
42.626055,9.489102,2019-09-16 16:25:28
42.626252,9.489045,2019-09-16 16:26:22
42.626101,9.488869,2019-09-16 16:27:52
42.626144,9.488942,2019-09-16 16:27:56
42.626163,9.488940,2019-09-16 16:28:06
42.626098,9.488961,2019-09-16 16:28:08
42.625917,9.489318,2019-09-16 16:28:27
42.626012,9.489017,2019-09-16 16:28:28
42.626071,9.489019,2019-09-16 16:28:30
42.625895,9.489097,2019-09-16 16:29:07
42.625850,9.489092,2019-09-16 16:29:11
42.625853,9.489086,2019-09-16 16:29:13
42.625846,9.489104,2019-09-16 16:29:15
42.625804,9.489101,2019-09-16 16:29:23
42.625883,9.489095,2019-09-16 16:29:25
42.625765,9.489136,2019-09-16 16:29:33
42.625754,9.489226,2019-09-16 16:29:35
42.625726,9.489183,2019-09-16 16:29:49
42.625736,9.489209,2019-09-16 16:29:51
42.625700,9.489190,2019-09-16 16:29:55
42.625681,9.489270,2019-09-16 16:29:57
42.625679,9.489313,2019-09-16 16:30:03
42.625642,9.489256,2019-09-16 16:30:11
42.625630,9.489251,2019-09-16 16:30:13
42.625593,9.489307,2019-09-16 16:30:23
42.625590,9.489298,2019-09-16 16:30:25
42.625655,9.489300,2019-09-16 16:30:27
42.625498,9.489436,2019-09-16 16:30:47
42.625542,9.489370,2019-09-16 16:30:49
42.625541,9.489378,2019-09-16 16:30:51
42.625496,9.489403,2019-09-16 16:30:59
42.625468,9.489436,2019-09-16 16:31:01
42.625438,9.489464,2019-09-16 16:31:09
42.625356,9.489453,2019-09-16 16:31:21
42.625386,9.489499,2019-09-16 16:31:23
42.625378,9.489517,2019-09-16 16:31:25
42.625366,9.489560,2019-09-16 16:31:29
42.625419,9.489535,2019-09-16 16:31:35
42.625406,9.489543,2019-09-16 16:31:39
42.625275,9.489668,2019-09-16 16:31:49
42.625322,9.489545,2019-09-16 16:31:51
42.625282,9.489622,2019-09-16 16:31:53
42.625330,9.489591,2019-09-16 16:31:55
42.625222,9.489892,2019-09-16 16:31:57
42.625290,9.489599,2019-09-16 16:31:59
42.625302,9.489685,2019-09-16 16:32:01
42.625227,9.489637,2019-09-16 16:32:11
42.625192,9.489743,2019-09-16 16:32:21
42.625175,9.489791,2019-09-16 16:32:29
42.625154,9.489705,2019-09-16 16:32:31
42.625106,9.489818,2019-09-16 16:32:47
42.625045,9.489791,2019-09-16 16:33:06
42.625050,9.489852,2019-09-16 16:33:12
42.624790,9.489869,2019-09-16 16:34:06
42.624738,9.489962,2019-09-16 16:34:32
42.624842,9.490014,2019-09-16 16:34:46
42.624884,9.490072,2019-09-16 16:34:50
